Local time,open,high,low,close,volume
03.01.2020 00:00:00,1.11707,1.11798,1.11249,1.11548,177406.7903
05.01.2020 00:00:00,1.11656,1.11677,1.11589,1.11604,4398.100001
06.01.2020 00:00:00,1.11603,1.12055,1.11571,1.11954,139965.2851
07.01.2020 00:00:00,1.11953,1.1197,1.11335,1.1154,155594.0953
08.01.2020 00:00:00,1.11539,1.11682,1.11016,1.11129,195256.9501
09.01.2020 00:00:00,1.1113,1.11204,1.10924,1.11093,142852.2452
10.01.2020 00:00:00,1.11092,1.11291,1.1085,1.11165,126780.2326
12.01.2020 00:00:00,1.11141,1.11209,1.11128,1.11161,1889.078002
13.01.2020 00:00:00,1.11161,1.11469,1.11125,1.11344,121460.7927
14.01.2020 00:00:00,1.11344,1.11444,1.11045,1.11275,137174.9201
15.01.2020 00:00:00,1.11276,1.11634,1.11185,1.11524,149733.3948
16.01.2020 00:00:00,1.11524,1.11727,1.11279,1.11368,132785.0651
17.01.2020 00:00:00,1.11368,1.11425,1.10862,1.1089,123846.6077
19.01.2020 00:00:00,1.1091,1.10948,1.10889,1.10946,3275.469993
20.01.2020 00:00:00,1.10946,1.11023,1.10766,1.10962,97595.17019
21.01.2020 00:00:00,1.10963,1.11179,1.10809,1.10851,133266.4303
22.01.2020 00:00:00,1.10851,1.10984,1.107,1.10957,134188.8148
23.01.2020 00:00:00,1.10956,1.11087,1.10362,1.10554,170440.2251
24.01.2020 00:00:00,1.10554,1.10617,1.10195,1.10224,123758.2202
26.01.2020 00:00:00,1.10318,1.10343,1.10244,1.10245,10936.52162
27.01.2020 00:00:00,1.10245,1.10375,1.10096,1.10193,126594.6103
28.01.2020 00:00:00,1.10193,1.10252,1.09978,1.1022,122883.0603
29.01.2020 00:00:00,1.1022,1.10276,1.09923,1.10138,122855.7802
30.01.2020 00:00:00,1.10138,1.10393,1.10069,1.10285,143391.9727
31.01.2020 00:00:00,1.10285,1.10954,1.10168,1.10944,141170.5703
02.02.2020 00:00:00,1.10939,1.10939,1.10813,1.1089,4187.034999
03.02.2020 00:00:00,1.1089,1.1089,1.10356,1.10623,134304.0428
04.02.2020 00:00:00,1.10623,1.10641,1.10328,1.10446,113719.4153
05.02.2020 00:00:00,1.10449,1.10479,1.09937,1.10003,122270.9813
06.02.2020 00:00:00,1.10003,1.10138,1.09644,1.09806,102177.7303
07.02.2020 00:00:00,1.09809,1.09849,1.09419,1.09438,130363.4254
09.02.2020 00:00:00,1.09439,1.09507,1.09419,1.09491,3793.479997
10.02.2020 00:00:00,1.09491,1.09574,1.09076,1.09101,103251.9571
11.02.2020 00:00:00,1.09103,1.09248,1.08913,1.09189,96173.74015
12.02.2020 00:00:00,1.09187,1.09255,1.08654,1.08756,252568.2676
13.02.2020 00:00:00,1.08755,1.08887,1.0834,1.08413,336729.9495
14.02.2020 00:00:00,1.08415,1.08611,1.08271,1.08299,118368.1851
16.02.2020 00:00:00,1.08406,1.08416,1.08355,1.08411,3465.965001
17.02.2020 00:00:00,1.08411,1.08509,1.08291,1.08366,74832.86517
18.02.2020 00:00:00,1.08365,1.08372,1.07854,1.07949,131588.6423
19.02.2020 00:00:00,1.07949,1.08115,1.07822,1.08096,105152.0573
20.02.2020 00:00:00,1.08095,1.08211,1.07778,1.07875,154014.6003
21.02.2020 00:00:00,1.07875,1.08635,1.07871,1.08456,187666.0202
23.02.2020 00:00:00,1.08145,1.08419,1.08132,1.08384,7690.538911
24.02.2020 00:00:00,1.08385,1.0872,1.0805,1.08485,174355.6304
25.02.2020 00:00:00,1.08485,1.08902,1.083,1.08797,183218.0904
26.02.2020 00:00:00,1.08796,1.09086,1.08549,1.08864,188216.9763
27.02.2020 00:00:00,1.08865,1.10064,1.08848,1.09963,216943.1152
28.02.2020 00:00:00,1.09964,1.1053,1.09509,1.10251,247670.5954
01.03.2020 00:00:00,1.10423,1.10739,1.10393,1.10515,7536.563798
02.03.2020 00:00:00,1.10516,1.11845,1.10362,1.11443,247052.4454
03.03.2020 00:00:00,1.11443,1.12134,1.10953,1.11765,214838.1003
04.03.2020 00:00:00,1.11765,1.11875,1.10955,1.1138,163854.0652
05.03.2020 00:00:00,1.11382,1.12447,1.11195,1.12224,194619.3354
06.03.2020 00:00:00,1.12224,1.13546,1.12112,1.12804,236551.7512
08.03.2020 00:00:00,1.13473,1.13963,1.1335,1.13876,17976.08375
09.03.2020 00:00:00,1.13876,1.14954,1.13559,1.13989,291479.4001
10.03.2020 00:00:00,1.13989,1.14251,1.12749,1.13136,263070.7341
11.03.2020 00:00:00,1.13136,1.13667,1.12501,1.12611,198250.0529
12.03.2020 00:00:00,1.12612,1.13336,1.1055,1.11823,262646.9229
13.03.2020 00:00:00,1.11822,1.12213,1.1055,1.10992,229638.6116
15.03.2020 00:00:00,1.10705,1.11996,1.10705,1.1156,30714.80232
16.03.2020 00:00:00,1.1156,1.12366,1.10849,1.11633,278539.5301
17.03.2020 00:00:00,1.11632,1.11891,1.0955,1.1016,277084.422
18.03.2020 00:00:00,1.10161,1.10451,1.08016,1.09442,323485.195
19.03.2020 00:00:00,1.09442,1.0949,1.06542,1.06544,299824.7968
20.03.2020 00:00:00,1.06543,1.08309,1.06375,1.06929,470351.5769
22.03.2020 00:00:00,1.07011,1.07044,1.06357,1.06886,36030.23748
23.03.2020 00:00:00,1.06886,1.08279,1.06577,1.07635,443008.2527
24.03.2020 00:00:00,1.07633,1.08879,1.07457,1.07977,343182.5487
25.03.2020 00:00:00,1.07978,1.08938,1.07599,1.08884,296546.4454
26.03.2020 00:00:00,1.08882,1.10589,1.08742,1.10475,281315.6092
27.03.2020 00:00:00,1.10475,1.11473,1.09533,1.11379,250774.6202
29.03.2020 00:00:00,1.11172,1.1144,1.11049,1.11361,8299.892706
30.03.2020 00:00:00,1.11361,1.11383,1.101,1.1029,193379.9855
31.03.2020 00:00:00,1.10289,1.10427,1.09265,1.10259,319580.6252
01.04.2020 00:00:00,1.1026,1.10361,1.09026,1.09513,272233.5579
02.04.2020 00:00:00,1.09514,1.09644,1.08206,1.0846,293209.6173
03.04.2020 00:00:00,1.08459,1.08553,1.07727,1.07955,264082.2576
05.04.2020 00:00:00,1.08082,1.08214,1.08026,1.08053,23173.32848
06.04.2020 00:00:00,1.08053,1.08354,1.07683,1.07988,274564.5803
07.04.2020 00:00:00,1.07988,1.09263,1.07904,1.08935,281112.8377
08.04.2020 00:00:00,1.08934,1.08969,1.08299,1.08599,231765.4957
09.04.2020 00:00:00,1.08598,1.09516,1.08409,1.09226,263058.2365
10.04.2020 00:00:00,1.09226,1.09524,1.09192,1.09326,143840.9938
12.04.2020 00:00:00,1.09482,1.09482,1.09304,1.09315,7181.072025
13.04.2020 00:00:00,1.09314,1.09678,1.08926,1.09198,164628.5437
14.04.2020 00:00:00,1.09197,1.09907,1.09149,1.09834,226846.3307
15.04.2020 00:00:00,1.09832,1.09872,1.08564,1.09037,241939.9743
16.04.2020 00:00:00,1.09036,1.09072,1.08166,1.08584,281466.7655
17.04.2020 00:00:00,1.08588,1.08926,1.08119,1.08711,249748.0854
19.04.2020 00:00:00,1.08748,1.08777,1.08634,1.08635,7584.632711
20.04.2020 00:00:00,1.08635,1.08967,1.08411,1.08637,209651.7104
21.04.2020 00:00:00,1.08636,1.08802,1.08165,1.08563,265105.9658
22.04.2020 00:00:00,1.08563,1.08852,1.08032,1.08062,216287.7253
23.04.2020 00:00:00,1.08062,1.08466,1.0756,1.07743,279998.6004
24.04.2020 00:00:00,1.07743,1.08294,1.07271,1.08196,228532.4106
26.04.2020 00:00:00,1.08211,1.08228,1.08146,1.08209,5396.685008
27.04.2020 00:00:00,1.08208,1.08602,1.08112,1.08245,208270.5755
28.04.2020 00:00:00,1.08244,1.08884,1.08097,1.08324,211896.2153
29.04.2020 00:00:00,1.08324,1.08856,1.08308,1.08772,215394.3202
30.04.2020 00:00:00,1.0877,1.09726,1.0833,1.09448,291709.5153
01.05.2020 00:00:00,1.09447,1.10187,1.09344,1.09777,184960.019
03.05.2020 00:00:00,1.09676,1.09736,1.09529,1.09608,10641.8024
04.05.2020 00:00:00,1.09608,1.09609,1.08956,1.0903,214135.9352
05.05.2020 00:00:00,1.09031,1.09258,1.08258,1.08384,236417.5427
06.05.2020 00:00:00,1.08385,1.08438,1.07819,1.0798,241116.2003
07.05.2020 00:00:00,1.0798,1.08408,1.07665,1.08361,233085.5604
08.05.2020 00:00:00,1.0836,1.08756,1.08151,1.08371,163403.401
10.05.2020 00:00:00,1.08265,1.08395,1.08239,1.08377,8709.159972
11.05.2020 00:00:00,1.08377,1.08504,1.08005,1.08093,212806.2146
12.05.2020 00:00:00,1.08093,1.08851,1.07843,1.08454,207027.4854
13.05.2020 00:00:00,1.08455,1.08965,1.08116,1.0821,228996.4983
